ID,Prix,Quantite,Remise,CA_Brut,Montant_Remise,CA_Net,TVA_20,Total_TTC
106,145.29,15,15.0,2179.35,326.9,1852.45,370.49,2222.94
107,145.75,13,20.0,1894.75,378.95,1515.8,303.16,1818.96
103,134.5,13,15.0,1748.5,262.27,1486.22,297.24,1783.47
105,96.59,18,25.0,1738.62,434.66,1303.97,260.79,1564.76
108,112.99,15,5.0,1694.85,84.74,1610.11,322.02,1932.13
108,104.04,16,20.0,1664.64,332.93,1331.71,266.34,1598.05
108,85.41,16,20.0,1366.56,273.31,1093.25,218.65,1311.9
105,73.09,14,10.0,1023.26,102.33,920.93,184.19,1105.12
108,102.12,10,25.0,1021.2,255.3,765.9,153.18,919.08
105,125.01,8,10.0,1000.08,100.01,900.07,180.01,1080.09
102,73.98,11,5.0,813.78,40.69,773.09,154.62,927.71
107,68.39,11,25.0,752.29,188.07,564.22,112.84,677.06
109,114.92,6,15.0,689.52,103.43,586.09,117.22,703.31
102,52.24,13,0.0,679.12,0.0,679.12,135.82,814.94
106,33.22,16,15.0,531.52,79.73,451.79,90.36,542.15
109,58.72,9,10.0,528.48,52.85,475.63,95.13,570.76
105,125.68,3,0.0,377.04,0.0,377.04,75.41,452.45
104,23.84,15,5.0,357.6,17.88,339.72,67.94,407.66
101,117.87,3,15.0,353.61,53.04,300.57,60.11,360.68
101,37.95,9,10.0,341.55,34.16,307.4,61.48,368.87
110,37.9,9,10.0,341.1,34.11,306.99,61.4,368.39
109,106.54,3,5.0,319.62,15.98,303.64,60.73,364.37
110,72.67,4,15.0,290.68,43.6,247.08,49.42,296.49
101,56.41,5,0.0,282.05,0.0,282.05,56.41,338.46
106,50.29,5,20.0,251.45,50.29,201.16,40.23,241.39
107,14.25,16,15.0,228.0,34.2,193.8,38.76,232.56
106,32.47,6,25.0,194.82,48.7,146.12,29.22,175.34
108,11.35,16,0.0,181.6,0.0,181.6,36.32,217.92
105,125.74,1,0.0,125.74,0.0,125.74,25.15,150.89
108,27.37,1,15.0,27.37,4.11,23.26,4.65,27.92
