ID,Prix,Quantite,Remise
106,145.29,15,15.0
107,145.75,13,20.0
103,134.5,13,15.0
105,96.59,18,25.0
108,112.99,15,5.0
108,104.04,16,20.0
108,85.41,16,20.0
105,73.09,14,10.0
108,102.12,10,25.0
105,125.01,8,10.0
102,73.98,11,5.0
107,68.39,11,25.0
109,114.92,6,15.0
102,52.24,13,0.0
106,33.22,16,15.0
109,58.72,9,10.0
105,125.68,3,0.0
104,23.84,15,5.0
101,117.87,3,15.0
101,37.95,9,10.0
110,37.9,9,10.0
109,106.54,3,5.0
110,72.67,4,15.0
101,56.41,5,0.0
106,50.29,5,20.0
107,14.25,16,15.0
106,32.47,6,25.0
108,11.35,16,0.0
105,125.74,1,0.0
108,27.37,1,15.0
